Gene,Cell_001,Cell_002,Cell_003,Cell_004,Cell_005,Cell_006,Cell_007,Cell_008,Cell_009,Cell_010,Cell_011,Cell_012,Cell_013,Cell_014,Cell_015,Cell_016,Cell_017,Cell_018,Cell_019,Cell_020,Cell_021,Cell_022,Cell_023,Cell_024,Cell_025,Cell_026,Cell_027,Cell_028,Cell_029,Cell_030,Cell_031,Cell_032,Cell_033,Cell_034,Cell_035,Cell_036,Cell_037,Cell_038,Cell_039,Cell_040,Cell_041,Cell_042,Cell_043,Cell_044,Cell_045,Cell_046,Cell_047,Cell_048,Cell_049,Cell_050,Cell_051,Cell_052,Cell_053,Cell_054,Cell_055,Cell_056,Cell_057,Cell_058,Cell_059,Cell_060,Cell_061,Cell_062,Cell_063,Cell_064,Cell_065,Cell_066,Cell_067,Cell_068,Cell_069,Cell_070,Cell_071,Cell_072,Cell_073,Cell_074,Cell_075,Cell_076,Cell_077,Cell_078,Cell_079,Cell_080,Cell_081,Cell_082,Cell_083,Cell_084,Cell_085,Cell_086,Cell_087,Cell_088,Cell_089,Cell_090,Cell_091,Cell_092,Cell_093,Cell_094,Cell_095,Cell_096,Cell_097,Cell_098,Cell_099,Cell_100,Cell_101,Cell_102,Cell_103,Cell_104,Cell_105,Cell_106,Cell_107,Cell_108,Cell_109,Cell_110,Cell_111,Cell_112,Cell_113,Cell_114,Cell_115,Cell_116,Cell_117,Cell_118,Cell_119,Cell_120
G11,2.378,2.237,4.834,8.113,7.365,3.619,18.57,3.227,3.731,3.342,4.611,3.794,3.313,6.948,2.141,0.875,5.765,6.694,5.806,6.875,5.226,7.308,5.758,5.452,2.065,4.281,2.186,2.732,2.949,2.941,6.344,3.443,5.678,5.194,2.046,5.252,2.562,3.093,3.582,4.389,5.015,2.684,2.42,5.52,1.941,9.861,6.984,2.813,3.026,5.9,1.829,4.104,1.888,3.273,8.842,6.937,0.936,6.586,1.381,4.221,4.102,6.126,4.399,4.649,5.825,1.951,1.86,3.328,3.983,6.846,2.631,4.503,3.682,3.872,3.636,2.855,3.642,1.991,6.448,1.114,5.163,4.624,1.513,3.498,1.615,5.2,6.135,6.284,2.127,3.925,4.039,2.517,6.132,10.043,4.294,3.625,3.789,5.082,6.752,16.536,3.878,7.271,15.818,1.817,3.621,6.455,6.188,8.109,6.626,2.929,3.239,4.698,5.49,4.553,2.112,7.175,4.504,10.41,2.161,4.673
G12,4.665,4.932,2.235,3.349,3.852,1.176,7.702,6.745,2.595,1.202,6.061,5.587,8.369,6.379,2.341,4.623,2.626,3.843,2.274,2.707,3.203,5.29,2.595,4.993,3.951,2.725,0.962,4.145,2.318,4.047,1.959,7.03,7.875,5.423,5.196,9.115,5.265,3.47,4.281,5.074,8.313,3.319,5.869,2.759,10.859,1.895,15.242,4.11,2.763,14.85,6.376,1.893,3.761,3.397,4.994,6.317,2.471,3.981,4.732,2.527,7.07,8.975,1.876,2.107,2.924,5.34,3.686,6.418,1.581,3.801,5.923,2.096,3.942,3.599,3.53,7.653,3.081,2.769,6.121,12.649,2.276,3.034,10.096,6.892,1.909,1.68,3.209,2.766,3.564,7.211,2.307,2.697,5.103,6.143,3.273,5.591,4.005,3.891,2.806,2.29,7.582,5.082,4.989,8.946,3.323,3.765,11.739,12.604,4.281,3.22,2.924,5.849,2.865,13.094,3.76,1.448,3.512,3.853,2.889,3.419
G13,2.875,2.751,3.361,7.285,11.113,2.899,10.074,1.991,5.517,3.898,3.744,3.53,3.776,8.392,2.312,0.835,6.481,6.963,8.724,4.571,3.063,7.119,7.592,5.93,5.165,3.819,3.609,4.331,2.812,2.317,9.866,7.922,4.691,3.616,2.889,3.999,2.842,4.718,3.317,4.85,8.563,3.208,2.668,4.931,1.658,7.029,7.166,1.619,3.577,4.759,4.186,3.948,3.322,3.574,8.327,5.684,2.059,2.868,1.413,3.374,2.978,7.569,4.349,3.918,6.079,2.283,1.273,1.767,5.185,4.125,5.105,4.523,2.893,3.141,1.748,4.702,2.295,3.586,7.899,1.081,5.658,4.32,3.066,2.34,1.306,4.301,5.43,14.813,1.792,3.599,2.667,3.376,6.476,3.807,3.538,3.083,6.774,3.773,7.09,16.205,5.331,7.648,10.06,1.825,3.493,5.787,6.054,3.096,8.68,3.557,4.739,6.425,3.453,3.074,1.376,10.821,3.831,7.45,2.309,5.267
G14,5.62,2.082,5.223,3.876,4.004,2.933,4.828,6.537,5.819,7.345,28.344,10.061,1.889,3.78,7.056,8.108,2.517,5.046,2.619,5.717,2.743,2.864,3.832,4.472,5.729,2.741,4.3,2.262,10.522,3.233,4.1,8.921,1.829,2.054,8.6,2.994,4.316,19.352,5.282,2.579,5.623,6.736,3.949,3.679,1.626,2.732,3.7,2.283,3.613,8.22,12.096,1.65,2.248,2.256,2.199,3.549,3.959,4.758,3.776,3.524,1.608,3.046,6.889,6.025,4.865,1.261,2.459,2.818,5.246,5.492,4.627,1.922,4.871,6.553,4.234,3.714,7.238,5.779,4.623,2.291,4.077,2.082,2.323,9.118,4.43,4.298,4.491,4.942,3.347,1.557,3.949,8.067,4.187,4.188,8.367,6.538,2.11,8.205,2.2,1.763,4.328,1.71,2.248,9.887,6.86,9.609,2.833,1.995,2.025,5.679,8.458,4.481,3.24,2.768,3.637,3.295,4.002,3.148,6.903,3.229
G15,2.464,1.315,3.574,7.72,10.274,3.143,9.962,5.339,3.188,3.904,5.484,6.31,3.995,8.32,3.09,0.819,5.222,5.448,9.07,5.979,5.346,5.471,3.677,5.115,2.97,3.56,4.345,5.703,2.525,3.592,7.298,4.502,6.807,7.651,1.906,4.068,3.991,2.228,8.123,5.579,3.447,3.038,4.833,2.436,1.974,10.907,5.711,2.397,2.79,4.382,1.835,3.337,1.818,3.156,5.235,5.646,0.835,4.149,1.331,5.183,3.371,7.667,4.373,3.343,6.718,1.997,1.758,3.764,6.327,6.211,3.315,3.811,5.26,3.228,3.781,5.376,4.062,2.263,7.979,1.749,5.976,4.642,1.642,4.939,1.577,6.334,3.335,5.873,3.001,2.445,4.351,2.112,4.718,4.815,4.903,2.983,3.049,6.165,7.047,15.737,2.739,11.195,8.541,1.974,2.804,6.81,4.962,4.461,6.852,3.626,3.55,3.842,3.264,3.91,2.503,10.029,7.606,11.448,1.083,4.084
G16,0.718,1.573,3.073,4.824,7.869,4.128,6.355,12.51,5.503,2.555,4.558,4.014,8.609,7.322,6.204,1.597,3.34,4.212,5.128,3.159,5.425,3.998,5.094,5.799,2.706,2.318,2.513,5.787,3.87,4.953,3.183,2.382,6.695,3.018,4.805,4.435,1.438,2.49,5.814,3.204,1.963,6.001,4.438,3.188,2.91,5.456,3.263,2.92,4.753,8.513,2.604,1.668,2.55,4.933,3.2,3.536,2.813,14.113,2.553,5.442,3.802,1.679,5.19,2.086,11.422,2.194,2.866,5.638,5.035,3.582,3.644,2.199,5.168,6.42,16.28,9.191,5.917,6.074,10.532,10.432,7.611,5.113,3.267,5.749,3.877,5.937,2.217,1.445,4.068,0.984,4.483,3.959,1.71,6.384,7.395,4.898,5.326,14.496,1.692,6.979,3.881,5.443,7.361,3.617,2.232,4.919,3.524,3.935,2.262,2.2,7.862,4.85,3.869,2.157,2.966,3.234,6.707,4.907,3.828,3.8
G17,3.226,2.621,4.145,7.441,11.773,3.28,12.609,3.634,7.638,4.041,8.581,4.223,3.959,8.68,3.056,1.234,2.111,7.05,6.55,4.573,2.975,4.16,7.097,6.612,2.501,5.175,2.402,6.771,1.882,1.946,6.39,4.829,4.976,2.579,3.469,6.779,3.264,6.183,2.475,10.552,5.595,3.005,3.727,5.74,2.244,8.609,6.502,1.145,6.556,3.661,3.224,2.887,1.888,2.331,4.805,5.568,1.23,5.645,1.626,5.172,3.937,4.617,3.169,3.128,7.652,2.731,1.745,1.982,4.419,4.953,6.737,3.257,2.604,5.332,3.72,2.628,4.433,2.042,6.108,1.488,6.156,2.733,1.878,4.527,2.057,2.544,7.849,8.296,2.71,4.291,4.099,4.038,8.402,5.979,5.341,3.163,3.059,1.948,7.444,13.146,4.14,9.116,12.381,2.138,4.425,4.334,5.723,5.675,6.825,3.606,4.256,5.179,2.446,4.253,1.288,5.46,2.393,10.067,1.327,6.876
G18,4.22,7.796,2.726,9.776,6.15,4.37,8.555,1.224,12.809,2.877,4.732,1.707,4.446,8.257,2.24,1.216,4.32,3.885,2.444,6.369,1.886,4.39,4.389,3.5,4.975,9.644,1.828,6.067,1.339,2.233,5.355,4.267,10.527,4.627,3.612,5.866,6.366,3.007,3.079,5.588,8.521,3.38,2.75,9.496,7.478,3.393,6.096,4.876,5.686,3.866,5.588,3.566,4.862,7.226,8.794,8.22,2.419,6.772,4.279,4.492,3.901,5.384,5.139,3.537,3.25,6.154,2.957,3.075,1.583,4.942,5.519,1.651,2.315,3.473,3.432,6.314,2.495,2.865,2.924,1.541,4.538,1.921,2.522,1.73,1.268,1.105,4.531,5.276,2.875,8.751,4.983,3.416,7.206,14.735,1.764,6.847,7.194,2.941,4.284,9.291,2.37,4.695,12.813,3.083,3.194,3.065,4.325,6.644,5.597,4.229,3.442,3.835,5.746,2.37,2.427,5.21,2.5,2.263,2.929,8.463
G19,3.116,1.468,3.625,4.172,9.315,3.994,13.245,3.088,3.912,2.082,2.44,5.575,3.839,4.943,2.228,0.875,3.431,5.211,9.603,4.226,3.426,10.064,4.458,7.215,1.821,2.158,1.542,5.212,2.074,4.143,5.742,3.951,10.274,7.71,1.598,4.445,3.528,1.484,6.847,4.552,3.187,2.485,3.859,2.372,4.358,7.565,5.637,2.99,4.107,6.794,2.029,4.672,3.32,4.353,8.081,7.374,0.974,3.864,1.788,5.289,4.418,12.206,3.541,1.931,7.337,3.357,3.577,4.369,5.538,4.728,6.143,4.137,4.868,4.02,3.799,5.306,3.412,1.989,6.158,3.961,6.424,7.066,2.539,4.042,1.674,4.234,3.11,5.23,6.646,3.423,2.339,1.823,3.312,7.816,3.536,2.912,2.766,4.998,4.421,13.455,2.628,13.117,16.455,2.731,1.76,5.497,5.052,6.087,7.177,3.621,4.161,4.462,2.298,3.932,2.439,7.245,6.91,8.009,1.938,5.322
G20,4.717,3.444,2.803,3.747,3.957,5.185,3.041,3.183,2.923,2.805,3.865,4.006,4.905,2.214,6.263,10.352,2.867,6.542,2.353,2.794,5.618,5.219,3.497,4.329,3.058,3.83,1.317,6.641,2.213,5.765,1.846,1.969,2.998,3.765,7.854,7.605,4.742,5.858,2.765,4.426,4.49,3.674,3.395,4.463,8.43,2.65,2.976,5.812,5.159,2.463,3.895,9.385,2.309,4.166,5.042,1.918,25.915,1.688,16.098,6.079,8.397,2.621,5.321,2.535,3.615,4.498,6.958,7.899,1.866,2.252,4.607,1.869,5.656,4.454,2.879,4.536,2.642,4.183,2.585,7.131,3.831,3.168,11.785,4.121,9.647,2.929,3.433,1.666,7.78,10.418,9.477,10.904,3.062,3.41,4.36,4.424,8.31,5.111,2.212,1.471,8.307,3.067,3.184,13.024,3.582,2.126,2.773,2.35,4.818,2.215,3.267,2.747,5.712,3.711,6.824,1.263,3.869,1.353,9.988,4.139
